pre_hit_joints  ,-0.558264, 0.957845, 0.250609, -1.95814, -2.00671, -1.45333, -2.85141
post_hit_joints ,-0.540415, 0.988102, 0.272901, -1.95838, -1.98539, -1.42343, -2.87124
pre_hit_ee      ,0.397288, -0.0650493, 0.191728, -0.510406, -0.504263, -0.501102, 0.483841, 0.144818, 0.821221, -0.525794, 0.352886, -0.0382679, 0.0990096
post_hit_ee     ,0.399112, -0.0497421, 0.182546, -0.508106, -0.503105, -0.502633, 0.485873, 0.0528331, 0.834914, -0.490204, 0.4465, -0.0372937, 0.104891
pre_hit_object  ,0.4, 0.125, 0.16499
end_object      ,0.400624, 0.561016, 0.164996


trial_no.       ,16
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.573828, 1.00208, 0.270604, -1.89735, -2.0157, -1.45285, -2.82632
post_hit_joints ,-0.554702, 1.03135, 0.290552, -1.88883, -1.99684, -1.42914, -2.8378
pre_hit_ee      ,0.412823, -0.0712033, 0.181738, -0.509946, -0.499544, -0.506442, 0.48366, 0.280068, 0.769215, -0.543038, 0.442753, -0.0476972, 0.104946
post_hit_ee     ,0.416956, -0.0587576, 0.173569, -0.507542, -0.498304, -0.508018, 0.485811, 0.19321, 0.795742, -0.428159, 0.503219, -0.0325153, 0.124801
pre_hit_object  ,0.425, 0.125, 0.165
end_object      ,0.429454, 0.590173, 0.164996


trial_no.       ,17
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.531795, 1.03974, 0.266678, -1.81443, -1.99025, -1.46622, -2.78756
post_hit_joints ,-0.512367, 1.06439, 0.284009, -1.80511, -1.97309, -1.44764, -2.79573
pre_hit_ee      ,0.439612, -0.0694938, 0.176564, -0.508856, -0.4984, -0.507322, 0.485064, 0.303941, 0.74619, -0.505212, 0.47656, -0.0387035, 0.138814
post_hit_ee     ,0.447714, -0.0445116, 0.162568, -0.503242, -0.495692, -0.510472, 0.490362, 0.204988, 0.779645, -0.370118, 0.525441, -0.021936, 0.162118
pre_hit_object  ,0.45, 0.125, 0.165
end_object      ,0.454175, 0.58674, 0.164994


trial_no.       ,18
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.501312, 1.06532, 0.253488, -1.73192, -1.9747, -1.49075, -2.74067
post_hit_joints ,-0.482476, 1.09016, 0.271165, -1.71832, -1.96019, -1.47231, -2.74486
pre_hit_ee      ,0.469467, -0.0638581, 0.168683, -0.506613, -0.496763, -0.508785, 0.487553, 0.330369, 0.733452, -0.475412, 0.464682, -0.0306448, 0.161803
post_hit_ee     ,0.474887, -0.0495272, 0.161075, -0.503518, -0.495404, -0.510322, 0.490527, 0.258124, 0.767597, -0.363372, 0.477944, -0.0172358, 0.173227
pre_hit_object  ,0.475, 0.125, 0.16499
end_object      ,0.48298, 0.591913, 0.165


trial_no.       ,19
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.460318, 1.10142, 0.242061, -1.63924, -1.9505, -1.51049, -2.69299
post_hit_joints ,-0.441358, 1.12335, 0.257464, -1.62377, -1.93766, -1.49652, -2.69389
pre_hit_ee      ,0.495874, -0.0659849, 0.167191, -0.506369, -0.496261, -0.508921, 0.488176, 0.388917, 0.707584, -0.438711, 0.460911, -0.0254297, 0.191331
post_hit_ee     ,0.501669, -0.0544712, 0.160798, -0.503668, -0.495246, -0.510079, 0.490785, 0.274715, 0.73976, -0.318445, 0.515501, -0.012859, 0.232975
pre_hit_object  ,0.5, 0.125, 0.165
end_object      ,0.504178, 0.577625, 0.164996


trial_no.       ,20
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.429747, 1.12513, 0.222485, -1.55629, -1.93112, -1.53726, -2.64469
post_hit_joints ,-0.411412, 1.14851, 0.238696, -1.53436, -1.92074, -1.52394, -2.64058
pre_hit_ee      ,0.525311, -0.0607494, 0.16264, -0.504353, -0.495083, -0.509846, 0.490488, 0.440092, 0.681397, -0.420439, 0.472023, -0.0223703, 0.22819
post_hit_ee     ,0.531006, -0.0500653, 0.157633, -0.50161, -0.494216, -0.51077, 0.493205, 0.354003, 0.722738, -0.306074, 0.487422, -0.00939878, 0.253782
pre_hit_object  ,0.525, 0.125, 0.165
end_object      ,0.528063, 0.573733, 0.164997


trial_no.       ,21
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.394507, 1.16408, 0.214021, -1.45745, -1.90833, -1.55556, -2.59078
post_hit_joints ,-0.376567, 1.18456, 0.22968, -1.43511, -1.89969, -1.54402, -2.5841
pre_hit_ee      ,0.54961, -0.0642799, 0.163431, -0.504272, -0.494275, -0.510276, 0.490938, 0.444548, 0.691451, -0.341276, 0.459052, -0.0168795, 0.258349
post_hit_ee     ,0.556842, -0.0523767, 0.158081, -0.501141, -0.493474, -0.511162, 0.494019, 0.339592, 0.691195, -0.236115, 0.492221, -0.00907729, 0.320747
pre_hit_object  ,0.55, 0.125, 0.16499
end_object      ,0.553442, 0.569936, 0.165


trial_no.       ,22
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.370867, 1.19721, 0.194804, -1.37205, -1.88971, -1.57841, -2.54683
post_hit_joints ,-0.352539, 1.22336, 0.210298, -1.33666, -1.88294, -1.57025, -2.53336
pre_hit_ee      ,0.56925, -0.0700192, 0.162804, -0.505647, -0.493439, -0.510738, 0.489883, 0.510096, 0.657778, -0.396462, 0.498825, -0.0260279, 0.277498
post_hit_ee     ,0.585873, -0.0481922, 0.151849, -0.498667, -0.491963, -0.512438, 0.4967, 0.494237, 0.671726, -0.279908, 0.524352, -0.015786, 0.358367
pre_hit_object  ,0.575, 0.125, 0.16499
end_object      ,0.577477, 0.55127, 0.164996


trial_no.       ,23
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.350374, 1.2232, 0.182585, -1.3005, -1.86904, -1.59263, -2.50622
post_hit_joints ,-0.332543, 1.24861, 0.199378, -1.26586, -1.86278, -1.58177, -2.49281
pre_hit_ee      ,0.588201, -0.0722531, 0.163269, -0.506208, -0.491654, -0.512141, 0.489634, 0.465529, 0.690547, -0.36837, 0.477642, -0.0305408, 0.227389
post_hit_ee     ,0.605701, -0.0466601, 0.151491, -0.499202, -0.489787, -0.514363, 0.496324, 0.481424, 0.703078, -0.257195, 0.48588, -0.0232774, 0.301152
pre_hit_object  ,0.6, 0.125, 0.16499
end_object      ,0.602865, 0.550268, 0.165


trial_no.       ,24
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.323784, 1.27119, 0.173643, -1.20288, -1.84643, -1.60634, -2.46
post_hit_joints ,-0.306165, 1.29574, 0.190712, -1.16935, -1.84063, -1.59522, -2.44728
pre_hit_ee      ,0.615075, -0.0642995, 0.153969, -0.503531, -0.48896, -0.514604, 0.492501, 0.420506, 0.719325, -0.365111, 0.49876, -0.0365663, 0.19369
post_hit_ee     ,0.622364, -0.0519707, 0.148507, -0.500343, -0.487857, -0.515901, 0.495479, 0.433942, 0.697369, -0.256051, 0.512745, -0.0314725, 0.281848
pre_hit_object  ,0.625, 0.125, 0.165
end_object      ,0.633596, 0.54148, 0.165


trial_no.       ,25
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.307191, 1.31687, 0.153937, -1.09672, -1.82622, -1.63601, -2.40486
post_hit_joints ,-0.290414, 1.34167, 0.172965, -1.06523, -1.82191, -1.62301, -2.39421
pre_hit_ee      ,0.638163, -0.0702014, 0.150998, -0.502235, -0.48728, -0.515697, 0.494342, 0.364409, 0.729697, -0.396959, 0.532375, -0.0449192, 0.170817
post_hit_ee     ,0.645299, -0.0561097, 0.144477, -0.498574, -0.485837, -0.517403, 0.497674, 0.383026, 0.750185, -0.289989, 0.541886, -0.040886, 0.237211
pre_hit_object  ,0.65, 0.125, 0.165
end_object      ,0.656774, 0.525819, 0.164995


trial_no.       ,26
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.27978, 1.3994, 0.135987, -0.943716, -1.79199, -1.67141, -2.3375
post_hit_joints ,-0.264153, 1.42232, 0.158764, -0.913787, -1.79129, -1.65737, -2.32653
pre_hit_ee      ,0.665482, -0.0714896, 0.138583, -0.496949, -0.483591, -0.518749, 0.500081, 0.313381, 0.741512, -0.345721, 0.615266, -0.053164, 0.189055
post_hit_ee     ,0.671301, -0.0578218, 0.13312, -0.493064, -0.481957, -0.520632, 0.503536, 0.333646, 0.783926, -0.237876, 0.5849, -0.048534, 0.244964
pre_hit_object  ,0.675, 0.125, 0.165
end_object      ,0.678709, 0.517238, 0.164992


trial_no.       ,27
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.225075, 1.58092, 0.121364, -0.531736, -1.7283, -1.75122, -2.10767
post_hit_joints ,-0.207572, 1.58833, 0.140373, -0.500473, -1.73168, -1.73912, -2.08247
pre_hit_ee      ,0.725178, -0.0679805, 0.134964, -0.478171, -0.483426, -0.517692, 0.519274, 0.35633, 0.686491, 0.247528, 0.310309, -0.0395522, 0.29329
post_hit_ee     ,0.731935, -0.0547221, 0.140112, -0.475232, -0.483624, -0.517659, 0.521816, 0.350817, 0.711865, 0.305133, 0.205073, -0.0404652, 0.323166
pre_hit_object  ,0.7, 0.125, 0.165
end_object      ,0.691921, 0.603689, 0.164996


trial_no.       ,28
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
